image_name,group,candidate_count,top_status,top_confidence,top_amount_score,top_text,top_bbox,top_reason,top_raw_status,top_raw_confidence,top_raw_reason,top_source,top_flags,top_ocr_confidence,top_has_local_reason,top_readable_amount,top_downgraded,review_priority,preview_path,needs_review,top3_candidates_json
p (15)_enhanced.jpg,p (15),4,篡改,0.9953,2.2000,24813:36向仲柒德转出99990元,"40,549,428,582",全局UI布局异常；局部字体风格异常,篡改,0.9953,全局UI布局异常；局部字体风格异常,token,money_regex|target_keyword|currency_hint|prominent,0.1640,yes,no,no,28.5764,results/amount_batch_images/review_previews/p (15)_enhanced.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.9953"", ""reason"": ""全局UI布局异常；局部字体风格异常"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9953"", ""raw_reason"": ""全局UI布局异常；局部字体风格异常"", ""text"": ""24813:36向仲柒德转出99990元"", ""bbox"": ""40,549,428,582"", ""amount_score"": ""2.2000"", ""ocr_confidence"": ""0.1640"", ""source"": ""token"", ""flags"": ""money_regex|target_keyword|currency_hint|prominent"", ""review_priority"": ""28.5764"", ""has_local_reason"": ""yes"", ""readable_amount"": ""no"", ""downgraded"": ""no"", ""candidate_count"": 4}, {""status"": ""篡改"", ""confidence"": ""0.9953"", ""reason"": ""全局UI布局异常"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9953"", ""raw_reason"": ""全局UI布局异常"", ""text"": ""为70172.51元,"", ""bbox"": ""40,584,213,617"", ""amount_score"": ""1.7500"", ""ocr_confidence"": ""0.8406"", ""source"": ""token"", ""flags"": ""money_regex|currency_hint|compact_digits|prominent"", ""review_priority"": ""26.4264"", ""has_local_reason"": ""no"", ""readable_amount"": ""yes"", ""downgraded"": ""no""}, {""status"": ""篡改"", ""confidence"": ""0.9953"", ""reason"": ""全局UI布局异常"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9953"", ""raw_reason"": ""全局UI布局异常"", ""text"": ""为70172.51元,摘要:转账汇款."", ""bbox"": ""40,584,409,617"", ""amount_score"": ""1.5500"", ""ocr_confidence"": ""0.5203"", ""source"": ""line"", ""flags"": ""money_regex|currency_hint|prominent"", ""review_priority"": ""26.2264"", ""has_local_reason"": ""no"", ""readable_amount"": ""yes"", ""downgraded"": ""no""}]"
p (2)_enhanced.jpg,p (2),4,篡改,0.9654,2.4000,"转账金额9,193.00元","140,1120,1133,1186",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹；局部字体风格异常；数值区域基线严重不齐(疑似错位拼接),篡改,0.9654,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹；局部字体风格异常；数值区域基线严重不齐(疑似错位拼接),line,money_regex|target_keyword|currency_hint|compact_digits|prominent,0.8046,yes,yes,no,27.6268,results/amount_batch_images/review_previews/p (2)_enhanced.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.9654"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹；局部字体风格异常；数值区域基线严重不齐(疑似错位拼接)"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9654"", ""raw_reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹；局部字体风格异常；数值区域基线严重不齐(疑似错位拼接)"", ""text"": ""转账金额9,193.00元"", ""bbox"": ""140,1120,1133,1186"", ""amount_score"": ""2.4000"", ""ocr_confidence"": ""0.8046"", ""source"": ""line"", ""flags"": ""money_regex|target_keyword|currency_hint|compact_digits|prominent"", ""review_priority"": ""27.6268"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""downgraded"": ""no"", ""candidate_count"": 4}, {""status"": ""篡改"", ""confidence"": ""0.9102"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9102"", ""raw_reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""74,119.35元"", ""bbox"": ""873,1755,1133,1811"", ""amount_score"": ""1.7500"", ""ocr_confidence"": ""0.6949"", ""source"": ""token"", ""flags"": ""money_regex|currency_hint|compact_digits|prominent"", ""review_priority"": ""26.7010"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""downgraded"": ""no""}, {""status"": ""篡改"", ""confidence"": ""0.9102"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9102"", ""raw_reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""9,193.00元"", ""bbox"": ""891,1125,1133,1181"", ""amount_score"": ""1.7500"", ""ocr_confidence"": ""0.6468"", ""source"": ""token"", ""flags"": ""money_regex|currency_hint|compact_digits|prominent"", ""review_priority"": ""26.7010"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""downgraded"": ""no""}]"
p (1)_enhanced.jpg,p (1),4,篡改,0.9972,2.2000,"24814:17向周庚俊转出36000元,","38,383,434,421",全局UI布局异常；局部字体风格异常,篡改,0.9972,全局UI布局异常；局部字体风格异常,token,money_regex|target_keyword|currency_hint|prominent,0.4999,yes,yes,no,27.5859,results/amount_batch_images/review_previews/p (1)_enhanced.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.9972"", ""reason"": ""全局UI布局异常；局部字体风格异常"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9972"", ""raw_reason"": ""全局UI布局异常；局部字体风格异常"", ""text"": ""24814:17向周庚俊转出36000元,"", ""bbox"": ""38,383,434,421"", ""amount_score"": ""2.2000"", ""ocr_confidence"": ""0.4999"", ""source"": ""token"", ""flags"": ""money_regex|target_keyword|currency_hint|prominent"", ""review_priority"": ""27.5859"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""downgraded"": ""no"", ""candidate_count"": 4}, {""status"": ""篡改"", ""confidence"": ""0.9972"", ""reason"": ""全局UI布局异常"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9972"", ""raw_reason"": ""全局UI布局异常"", ""text"": ""为558.51元;"", ""bbox"": ""41,422,185,453"", ""amount_score"": ""1.7500"", ""ocr_confidence"": ""0.5464"", ""source"": ""token"", ""flags"": ""money_regex|currency_hint|compact_digits|prominent"", ""review_priority"": ""26.4359"", ""has_local_reason"": ""no"", ""readable_amount"": ""yes"", ""downgraded"": ""no""}, {""status"": ""篡改"", ""confidence"": ""0.9972"", ""reason"": ""全局UI布局异常"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9972"", ""raw_reason"": ""全局UI布局异常"", ""text"": ""为558.51元;菝要:转贝汇款."", ""bbox"": ""41,418,373,454"", ""amount_score"": ""1.5500"", ""ocr_confidence"": ""0.2746"", ""source"": ""line"", ""flags"": ""money_regex|currency_hint|prominent"", ""review_priority"": ""26.2359"", ""has_local_reason"": ""no"", ""readable_amount"": ""yes"", ""downgraded"": ""no""}]"
p (37)_enhanced.jpg,p (37),4,篡改,0.9966,2.2000,转账金额26431.00,"93,937,771,979",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,篡改,0.9966,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,line,money_regex|target_keyword|compact_digits|prominent,0.8913,yes,yes,no,27.5828,results/amount_batch_images/review_previews/p (37)_enhanced.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.9966"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9966"", ""raw_reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""转账金额26431.00"", ""bbox"": ""93,937,771,979"", ""amount_score"": ""2.2000"", ""ocr_confidence"": ""0.8913"", ""source"": ""line"", ""flags"": ""money_regex|target_keyword|compact_digits|prominent"", ""review_priority"": ""27.5828"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""downgraded"": ""no"", ""candidate_count"": 4}, {""status"": ""篡改"", ""confidence"": ""0.9966"", ""reason"": ""全局UI布局异常"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9966"", ""raw_reason"": ""全局UI布局异常"", ""text"": ""半26431.68"", ""bbox"": ""299,408,563,463"", ""amount_score"": ""1.5500"", ""ocr_confidence"": ""0.4574"", ""source"": ""token"", ""flags"": ""money_regex|compact_digits|prominent"", ""review_priority"": ""26.2328"", ""has_local_reason"": ""no"", ""readable_amount"": ""yes"", ""downgraded"": ""no""}, {""status"": ""篡改"", ""confidence"": ""0.9966"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9966"", ""raw_reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""26431.00"", ""bbox"": ""634,941,771,972"", ""amount_score"": ""1.4000"", ""ocr_confidence"": ""0.9998"", ""source"": ""token"", ""flags"": ""money_regex|compact_digits"", ""review_priority"": ""26.7828"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""downgraded"": ""no""}]"
p (38)_enhanced.jpg,p (38),4,篡改,0.9966,2.2000,转账金额46719.00,"93,937,771,979",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,篡改,0.9966,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,line,money_regex|target_keyword|compact_digits|prominent,0.8725,yes,yes,no,27.5828,results/amount_batch_images/review_previews/p (38)_enhanced.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.9966"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9966"", ""raw_reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""转账金额46719.00"", ""bbox"": ""93,937,771,979"", ""amount_score"": ""2.2000"", ""ocr_confidence"": ""0.8725"", ""source"": ""line"", ""flags"": ""money_regex|target_keyword|compact_digits|prominent"", ""review_priority"": ""27.5828"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""downgraded"": ""no"", ""candidate_count"": 4}, {""status"": ""篡改"", ""confidence"": ""0.9966"", ""reason"": ""全局UI布局异常；局部字体风格异常"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9966"", ""raw_reason"": ""全局UI布局异常；局部字体风格异常"", ""text"": ""半46719.08"", ""bbox"": ""300,408,563,463"", ""amount_score"": ""1.5500"", ""ocr_confidence"": ""0.3541"", ""source"": ""token"", ""flags"": ""money_regex|compact_digits|prominent"", ""review_priority"": ""26.9328"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""downgraded"": ""no""}, {""status"": ""篡改"", ""confidence"": ""0.9966"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9966"", ""raw_reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""46719.00"", ""bbox"": ""634,940,771,972"", ""amount_score"": ""1.4000"", ""ocr_confidence"": ""0.9622"", ""source"": ""token"", ""flags"": ""money_regex|compact_digits"", ""review_priority"": ""26.7828"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""downgraded"": ""no""}]"
p (8)_enhanced.jpg,p (8),4,篡改,0.9962,2.2000,转账金额12674.00,"93,937,771,979",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,篡改,0.9962,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,line,money_regex|target_keyword|compact_digits|prominent,0.8910,yes,yes,no,27.5810,results/amount_batch_images/review_previews/p (8)_enhanced.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.9962"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9962"", ""raw_reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""转账金额12674.00"", ""bbox"": ""93,937,771,979"", ""amount_score"": ""2.2000"", ""ocr_confidence"": ""0.8910"", ""source"": ""line"", ""flags"": ""money_regex|target_keyword|compact_digits|prominent"", ""review_priority"": ""27.5810"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""downgraded"": ""no"", ""candidate_count"": 4}, {""status"": ""篡改"", ""confidence"": ""0.9962"", ""reason"": ""全局UI布局异常"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9962"", ""raw_reason"": ""全局UI布局异常"", ""text"": ""半12674.63"", ""bbox"": ""299,407,563,461"", ""amount_score"": ""1.5500"", ""ocr_confidence"": ""0.4329"", ""source"": ""token"", ""flags"": ""money_regex|compact_digits|prominent"", ""review_priority"": ""26.2310"", ""has_local_reason"": ""no"", ""readable_amount"": ""yes"", ""downgraded"": ""no""}, {""status"": ""篡改"", ""confidence"": ""0.9962"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9962"", ""raw_reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""12674.00"", ""bbox"": ""634,941,771,972"", ""amount_score"": ""1.4000"", ""ocr_confidence"": ""0.9992"", ""source"": ""token"", ""flags"": ""money_regex|compact_digits"", ""review_priority"": ""26.7810"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""downgraded"": ""no""}]"
p (13)_enhanced.jpg,p (13),4,篡改,0.9961,2.2000,"记账金额99,999.00","48,1596,1235,1664",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,篡改,0.9961,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,line,money_regex|target_keyword|compact_digits|prominent,0.9903,yes,yes,no,27.5805,results/amount_batch_images/review_previews/p (13)_enhanced.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.9961"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9961"", ""raw_reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""记账金额99,999.00"", ""bbox"": ""48,1596,1235,1664"", ""amount_score"": ""2.2000"", ""ocr_confidence"": ""0.9903"", ""source"": ""line"", ""flags"": ""money_regex|target_keyword|compact_digits|prominent"", ""review_priority"": ""27.5805"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""downgraded"": ""no"", ""candidate_count"": 4}, {""status"": ""篡改"", ""confidence"": ""0.9961"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9961"", ""raw_reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""交易金额99,999.00"", ""bbox"": ""48,1466,1235,1537"", ""amount_score"": ""2.2000"", ""ocr_confidence"": ""0.9645"", ""source"": ""line"", ""flags"": ""money_regex|target_keyword|compact_digits|prominent"", ""review_priority"": ""27.5805"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""downgraded"": ""no""}, {""status"": ""篡改"", ""confidence"": ""0.9961"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9961"", ""raw_reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""99,999.00"", ""bbox"": ""986,1601,1235,1664"", ""amount_score"": ""1.5500"", ""ocr_confidence"": ""0.9998"", ""source"": ""token"", ""flags"": ""money_regex|compact_digits|prominent"", ""review_priority"": ""26.9305"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""downgraded"": ""no""}]"
p (31)_enhanced.jpg,p (31),4,篡改,0.9961,2.2000,"交易金额99,999.00","48,1466,1235,1537",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,篡改,0.9961,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,line,money_regex|target_keyword|compact_digits|prominent,0.9651,yes,yes,no,27.5805,results/amount_batch_images/review_previews/p (31)_enhanced.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.9961"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9961"", ""raw_reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""交易金额99,999.00"", ""bbox"": ""48,1466,1235,1537"", ""amount_score"": ""2.2000"", ""ocr_confidence"": ""0.9651"", ""source"": ""line"", ""flags"": ""money_regex|target_keyword|compact_digits|prominent"", ""review_priority"": ""27.5805"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""downgraded"": ""no"", ""candidate_count"": 4}, {""status"": ""篡改"", ""confidence"": ""0.9961"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9961"", ""raw_reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""记账金额99,999.00"", ""bbox"": ""48,1596,1235,1666"", ""amount_score"": ""2.2000"", ""ocr_confidence"": ""0.7213"", ""source"": ""line"", ""flags"": ""money_regex|target_keyword|compact_digits|prominent"", ""review_priority"": ""27.5805"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""downgraded"": ""no""}, {""status"": ""篡改"", ""confidence"": ""0.9961"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9961"", ""raw_reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""99,999.00"", ""bbox"": ""985,1469,1235,1537"", ""amount_score"": ""1.5500"", ""ocr_confidence"": ""0.9998"", ""source"": ""token"", ""flags"": ""money_regex|compact_digits|prominent"", ""review_priority"": ""26.9305"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""downgraded"": ""no""}]"
p (33)_enhanced.jpg,p (33),4,篡改,0.9960,2.2000,转账金额45668.00,"93,937,771,979",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,篡改,0.9960,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,line,money_regex|target_keyword|compact_digits|prominent,0.8786,yes,yes,no,27.5800,results/amount_batch_images/review_previews/p (33)_enhanced.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.9960"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9960"", ""raw_reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""转账金额45668.00"", ""bbox"": ""93,937,771,979"", ""amount_score"": ""2.2000"", ""ocr_confidence"": ""0.8786"", ""source"": ""line"", ""flags"": ""money_regex|target_keyword|compact_digits|prominent"", ""review_priority"": ""27.5800"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""downgraded"": ""no"", ""candidate_count"": 4}, {""status"": ""篡改"", ""confidence"": ""0.9960"", ""reason"": ""全局UI布局异常"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9960"", ""raw_reason"": ""全局UI布局异常"", ""text"": ""半45668.68"", ""bbox"": ""300,408,563,461"", ""amount_score"": ""1.5500"", ""ocr_confidence"": ""0.7854"", ""source"": ""token"", ""flags"": ""money_regex|compact_digits|prominent"", ""review_priority"": ""26.2300"", ""has_local_reason"": ""no"", ""readable_amount"": ""yes"", ""downgraded"": ""no""}, {""status"": ""篡改"", ""confidence"": ""0.9960"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9960"", ""raw_reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""45668.00"", ""bbox"": ""634,940,771,972"", ""amount_score"": ""1.4000"", ""ocr_confidence"": ""0.9745"", ""source"": ""token"", ""flags"": ""money_regex|compact_digits"", ""review_priority"": ""26.7800"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""downgraded"": ""no""}]"
p (34)_enhanced.jpg,p (34),4,篡改,0.9960,2.2000,转账金额45668.00,"93,937,771,979",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,篡改,0.9960,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,line,money_regex|target_keyword|compact_digits|prominent,0.8786,yes,yes,no,27.5800,results/amount_batch_images/review_previews/p (34)_enhanced.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.9960"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9960"", ""raw_reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""转账金额45668.00"", ""bbox"": ""93,937,771,979"", ""amount_score"": ""2.2000"", ""ocr_confidence"": ""0.8786"", ""source"": ""line"", ""flags"": ""money_regex|target_keyword|compact_digits|prominent"", ""review_priority"": ""27.5800"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""downgraded"": ""no"", ""candidate_count"": 4}, {""status"": ""篡改"", ""confidence"": ""0.9960"", ""reason"": ""全局UI布局异常"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9960"", ""raw_reason"": ""全局UI布局异常"", ""text"": ""半45668.68"", ""bbox"": ""300,408,563,461"", ""amount_score"": ""1.5500"", ""ocr_confidence"": ""0.7854"", ""source"": ""token"", ""flags"": ""money_regex|compact_digits|prominent"", ""review_priority"": ""26.2300"", ""has_local_reason"": ""no"", ""readable_amount"": ""yes"", ""downgraded"": ""no""}, {""status"": ""篡改"", ""confidence"": ""0.9960"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.9960"", ""raw_reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""45668.00"", ""bbox"": ""634,940,771,972"", ""amount_score"": ""1.4000"", ""ocr_confidence"": ""0.9745"", ""source"": ""token"", ""flags"": ""money_regex|compact_digits"", ""review_priority"": ""26.7800"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""downgraded"": ""no""}]"
