rank,risk_tier,image_name,group,top_status,top_confidence,review_priority,top_text,top_reason,top_readable_amount,top_downgraded,needs_review,preview_path
1,A,f_21.jpg,f,篡改,0.9613,28.4067,收预金额17.000.00元(人[币),全局UI布局异常；局部字体风格异常,no,no,yes,results/amount_batch_ptest_latest/review_previews/f_21.jpg
2,A,d_77.jpg,d,篡改,0.9936,27.9179,5.3500#0,全局UI布局异常；局部字体风格异常,no,no,yes,results/amount_batch_ptest_latest/review_previews/d_77.jpg
3,A,g_13.jpg,g,篡改,0.9927,27.7636,"转账金额1,365.00元",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/g_13.jpg
4,A,g_14.jpg,g,篡改,0.9927,27.7636,"转账金额1,365.00元",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/g_14.jpg
5,A,c_104.jpg,c,篡改,0.9972,27.5859,"支出50,000.00",全局UI布局异常；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_104.jpg
6,A,c_139.jpg,c,篡改,0.9972,27.5859,"支出30,000.00",全局UI布局异常；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_139.jpg
7,A,c_167.jpg,c,篡改,0.9972,27.5859,"支出20,000.00",全局UI布局异常；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_167.jpg
8,A,c_30.jpg,c,篡改,0.9972,27.5859,"支出50,000.00",全局UI布局异常；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_30.jpg
9,A,c_50.jpg,c,篡改,0.9972,27.5859,"支出60,000.00",全局UI布局异常；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_50.jpg
10,A,c_52.jpg,c,篡改,0.9972,27.5859,"支出-20,000.00",全局UI布局异常；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_52.jpg
11,A,c_81.jpg,c,篡改,0.9972,27.5859,"支出-20,000.00",全局UI布局异常；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_81.jpg
12,A,c_54.jpg,c,篡改,0.9965,27.5825,"支出30,100.00",全局UI布局异常；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_54.jpg
13,A,c_116.jpg,c,篡改,0.9964,27.5819,"转账金额半25,190.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_116.jpg
14,A,a_1.jpg,a,篡改,0.9959,27.5797,转账金额12674.00,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/a_1.jpg
15,A,a_11.jpg,a,篡改,0.9959,27.5797,转账金额46719.00,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/a_11.jpg
16,A,a_13.jpg,a,篡改,0.9959,27.5797,转账金额65403.00,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/a_13.jpg
17,A,a_15.jpg,a,篡改,0.9959,27.5797,转账金额11140.00,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/a_15.jpg
18,A,a_2.jpg,a,篡改,0.9959,27.5797,转账金额23857.00,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/a_2.jpg
19,A,a_24.jpg,a,篡改,0.9959,27.5797,转账金额42674.00,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/a_24.jpg
20,A,a_25.jpg,a,篡改,0.9959,27.5797,转账金额21794.00,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/a_25.jpg
21,A,a_28.jpg,a,篡改,0.9959,27.5797,"转账金额34,481.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/a_28.jpg
22,A,a_30.jpg,a,篡改,0.9959,27.5797,转账金额19781.00,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/a_30.jpg
23,A,a_4.jpg,a,篡改,0.9959,27.5797,转账金额45668.00,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/a_4.jpg
24,A,a_6.jpg,a,篡改,0.9959,27.5797,转账金额31190.00,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/a_6.jpg
25,A,a_7.jpg,a,篡改,0.9959,27.5797,转账金额31976.00,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/a_7.jpg
26,A,a_9.jpg,a,篡改,0.9959,27.5797,转账金额26431.00,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/a_9.jpg
27,A,c_97.jpg,c,篡改,0.9959,27.5797,"转账金额19,120.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_97.jpg
28,A,c_40.jpg,c,篡改,0.9946,27.5729,"转账金额349,519.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_40.jpg
29,A,d_115.jpg,d,篡改,0.9945,27.5725,"转账金额20,093.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_115.jpg
30,A,c_2.jpg,c,篡改,0.9944,27.5720,"转账金额11,235.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_2.jpg
31,A,a_21.jpg,a,篡改,0.9933,27.5667,"24813:36向仲蒙德转出99990元,佘额",全局UI布局异常；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/a_21.jpg
32,A,a_14.jpg,a,篡改,0.9933,27.5665,24814:17向周庚俊转出36000元,全局UI布局异常；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/a_14.jpg
33,A,f_53.jpg,f,篡改,0.9929,27.5645,记账金额511.00,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/f_53.jpg
34,A,d_29.jpg,d,篡改,0.9909,27.5545,0816:03向丁朵朵转出49000元,全局UI布局异常；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_29.jpg
35,A,c_108.jpg,c,篡改,0.9972,27.3859,2025年09月29808:49支出,全局UI布局异常；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_108.jpg
36,A,c_37.jpg,c,篡改,0.9966,27.1332,9272.99元摘要:转账汇,全局UI布局异常；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_37.jpg
37,A,d_4.jpg,d,篡改,0.9959,27.0795,"-39,000.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_4.jpg
38,A,d_92.jpg,d,篡改,0.9949,27.0745,"-21,091.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_92.jpg
39,A,d_5.jpg,d,篡改,0.9944,27.0721,"-32,402.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_5.jpg
40,A,d_37.jpg,d,篡改,0.9932,27.0659,"-28,000.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_37.jpg
41,A,c_151.jpg,c,篡改,1.0000,26.9500,68329.610,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹；局部字体风格异常；数值区域高度突变(疑似大小字拼接)；数值区域基线严重不齐(疑似错位拼接),yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_151.jpg
